Variable Name,Variable Description,Variable Definition,Figure 1,Figure 2,Label for Figures,Language for Text,Language for Note
statename,State name,state name,,,,,
statefips,State fips code,state fips code,,,,,
expansion,Indicator of ACA Medicaid expansion as of July 2017,"0 = nonexpansion
1 = expansion",,,,,
fpwaiver,Indicator of a Medicaid family planning waiver,"0 = no waiver
1 = waiver",,,,,
small,Indicator of a small state,"0 = not a small state
1 = small state",,,,,
template,Indicator of template,"1 = expansion
2 = nonexpansion, waiver
3 = nonexpansion, no waiver
4 = small expansion
5 = small nonexpansion",,,,,
note,Indicator of special text to add or remove,"1 = state expanded Medicaid post 2017
2 = state has voted to expand Medicaid, not implemented
3 = expansion state without family planning waiver
4 = state has basic health plan
5 = expansion state without family planning waiver with enhanced subsidies",,,,"1 = The recent Medicaid expansion in =statename could
2 = The recent vote to expand Medicaid in =statename could 
","1 = which did not expand Medicaid under the Affordable Care Act until after 2017
2 = which has voted to expand but not yet implemented Medicaid expansion under the Affordable Care Act
3 = [remove existing note to Figure 2]
4 = Some women likely eligible for Marketplace premium assistance may be eligible for more affordable coverage through the state's Basic Health Program.
5 = Some women likely eligible for Marketplace premium assistance may be eligible for more affordable coverage through a state-specific program. [remove existing note to Figure 2]"
age1518_mn,"Mean uninsurance rate, women ages 15-18",proportion,Yes,,Ages 15–18,women ages 15 to 18,
age1518_n,"N, women ages 15-18",sample size,Yes,,,,
age1518_tstat,"t-statistic, difference in uninsurance rate for women ages 15-18 vs state mean",t-statistic,Yes,,,,
age1925_mn,"Mean uninsurance rate, women ages 19-25",proportion,Yes,,Ages 19–25,women ages 19 to 25,
age1925_n,"N, women ages 19-25",sample size,Yes,,,,
age1925_tstat,"t-statistic, difference in uninsurance rate for women ages 19-25 vs state mean",t-statistic,Yes,,,,
age2634_mn,"Mean uninsurance rate, women ages 26-34",proportion,Yes,,Ages 26–34,women ages 26 to 34,
age2634_n,"N, women ages 26-34",sample size,Yes,,,,
age2634_tstat,"t-statistic, difference in uninsurance rate for women ages 26-34 vs state mean",t-statistic,Yes,,,,
age3544_mn,"Mean uninsurance rate, women ages 35-44",proportion,Yes,,Ages 35–44,women ages 35 to 44,
age3544_n,"N, women ages 35-44",sample size,Yes,,,,
age3544_tstat,"t-statistic, difference in uninsurance rate for women ages 35-44 vs state mean",t-statistic,Yes,,,,
white_mn,"Mean uninsurance rate, non-Hispanic white women",proportion,Yes,,White,white women,
white_n,"N, non-Hispanic white women",sample size,Yes,,,,
white_tstat,"t-statistic, difference in uninsurance rate for non-Hispanic white women vs state mean",t-statistic,Yes,,,,
black_mn,"Mean uninsurance rate, non-Hispanic black women",proportion,Yes,,Black,black women,
black_n,"N, non-Hispanic black women",sample size,Yes,,,,
black_tstat,"t-statistic, difference in uninsurance rate for non-Hispanic black women vs state mean",t-statistic,Yes,,,,
hispanic_mn,"Mean uninsurance rate, Hispanic women",proportion,Yes,,Hispanic,Hispanic women,
hispanic_n,"N, Hispanic women",sample size,Yes,,,,
hispanic_tstat,"t-statistic, difference in uninsurance rate for Hispanic women vs state mean",t-statistic,Yes,,,,
othrace_mn,"Mean uninsurance rate, women with multiple or other race",proportion,Yes,,Other/multiple races,women of other/multiple races,
othrace_n,"N, women with multiple or other race",sample size,Yes,,,,
othrace_tstat,"t-statistic, difference in uninsurance rate for women with multiple or other race vs state mean",t-statistic,Yes,,,,
marpar_mn,"Mean uninsurance rate, married mothers",proportion,Yes,,Married mother,married mothers,
marpar_n,"N, married mothers",sample size,Yes,,,,
marpar_tstat,"t-statistic, difference in uninsurance rate for married mothers vs state mean",t-statistic,Yes,,,,
